Document,comment,stemming_str,sentiment,tfidf
ulasan 92,"Ini gue demen sama podcast ini.... Cadazz...

Hebat ya anak autis bisa dididik jd hacker hebat❤",gue demen podcast cadazz hebat ya anak autis didik hacker hebat,netral,hebat:0.5172; cadazz:0.4324; demen:0.3795; didik:0.3266; autis:0.3192; podcast:0.2441; anak:0.1956; gue:0.1924; ya:0.1785; hacker:0.1618
ulasan 93,Usul om ded judol itu sama Kya korupsi....uang bnyak lari triliunan ke kambojo,usul om ded judol kaya korupsiuang lari triliun kambojo,negatif,korupsiuang:0.4304; kambojo:0.4304; usul:0.3865; triliun:0.3640; lari:0.3533; kaya:0.3075; ded:0.2214; judol:0.2148; om:0.1824
ulasan 94,Hacker harus mengungkap kpruptor di indonesia,hacker ungkap kpruptor indonesia,netral,kpruptor:0.7296; ungkap:0.5558; indonesia:0.2903; hacker:0.2730
ulasan 95,Dari konten ini kesimpulannya adalah kecil kepercayaan masyarakat banyak kepada lembaga polri karena sering kebobolan hecker,konten simpul percaya masyarakat lembaga polri bobol hecker,netral,simpul:0.4253; lembaga:0.4083; konten:0.3923; hecker:0.3692; bobol:0.3421; masyarakat:0.3110; polri:0.2744; percaya:0.2703
ulasan 96,Mata mata sedang cari tau berkedok podcast 😅😅,mata mata cari tau kedok podcast,negatif,mata:0.7454; kedok:0.4596; podcast:0.3116; cari:0.2758; tau:0.2449
ulasan 97,Kapolri tuh ganti  makin bego aja nih instansi,kapolri tuh ganti bego nih instansi,negatif,bego:0.4809; kapolri:0.4600; ganti:0.4194; instansi:0.3830; tuh:0.3470; nih:0.3378
ulasan 98,"Bjorka memang keren tapi kalian kyaknya ndak nyimak postcast nya, kalau postcast ini membahas BJORKA MENJUAL DATA-DATA KALIAN. 😅",bjorka keren kayak indak simak postcast nya postcast bahas bjorka jual datadata,positif,postcast:0.7061; datadata:0.3258; indak:0.2898; simak:0.2898; keren:0.2258; bahas:0.2194; jual:0.2101; bjorka:0.2014; kayak:0.1619; nya:0.1316
ulasan 99,"Masih terngiang-ngiang diingatan bapak bapak megang layar pas peluncuran sesuatu, cursornya kena senggol. Jadi ketahuan kalau screenrecord😅.",terngiangngiang ingat pegang layar pas luncur cursornya kena senggol tahu screenrecord,negatif,terngiangngiang:0.3536; luncur:0.3536; cursornya:0.3536; screenrecord:0.3536; ingat:0.3175; senggol:0.3175; layar:0.2865; pegang:0.2592; tahu:0.2377; pas:0.2253
ulasan 100,"tertawa terbahak""' gua ketika polisi bilang sudah nangkap Bjorka 😂😂😂 , nangkap bandar judol aja gak bisa""'  , ini malah bilang sudah nangkap Bjorka 😂😂😂 , besok.a malah Bjorka membocorkan data""' Polri semua.a 

menurut gua mending Polisi nangkap Bandar Judol dlu dah daripada nangkap Bjorka 😂",tertawa bahak gua polisi bilang nangkap bjorka nangkap bandar judol bilang nangkap bjorka besoka bjorka bocor data polri semuaa gua mending polisi nangkap bandar judol deh nangkap bjorka,negatif,nangkap:0.5796; bandar:0.2891; bjorka:0.2750; bilang:0.2685; gua:0.2589; besoka:0.2410; semuaa:0.2410; judol:0.2406; bahak:0.2116; tertawa:0.1722
ulasan 101,46:00 Fufufafa??😮😂,fufufafa,netral,fufufafa:1.0000
ulasan 102,No system is safe.,no system is safe,netral,safe:0.5462; is:0.4919; system:0.4893; no:0.4693
ulasan 103,18:44 komunitas mendukung karna munkin masyakat muak dengan pemerintah,komunitas dukung munkin masyakat muak perintah,netral,munkin:0.5094; masyakat:0.5094; muak:0.4241; dukung:0.3597; komunitas:0.3395; perintah:0.2379
ulasan 104,Dari suara aja Tahu ini siapa😂😂😂,suara,netral,suara:1.0000
ulasan 105,Bukan “tau” bg tapi “tahu”,tau bang,negatif,bang:0.7519; tau:0.6592
ulasan 106,Hehehe😊,hehehe,netral,hehehe:1.0000
ulasan 107,yang buat driver linux tu hacker,driver linux hacker,netral,driver:0.7425; linux:0.6095; hacker:0.2779
ulasan 108,"Namanya ingin naik jabatan, dan perlu klen tau.. misal nih ya ada kasus pembunuhan ribuan tahun yang lalu, kemudian kebetulan ada orang liar yg tertangkap dengan kasus pembunuhan tu orang bakal di siksa paksa buat akui kasus ratusan puluh ribu tahun yang lalu, buat naik jabatan hina kn",nama jabat tau nih ya bunuh ribu orang liar tangkap bunuh orang siksa paksa aku ratus puluh ribu jabat hina,negatif,bunuh:0.4596; ribu:0.4121; jabat:0.3360; siksa:0.2634; puluh:0.2442; liar:0.2377; hina:0.2348; ratus:0.2235; orang:0.2207; paksa:0.2166
ulasan 109,"gue yakin dan 100% sangat yakin, yang ditangkap polisi dari polda metro jaya, bukan hacker bjorka asli, polisi (polri) salah tangkap. maaf, emang gak danta kerja nya, kerjaan nya mereka. itulah mereka, parcok dan wercok. 🤣🤣. 👎🏻, 🤮, 😜😝😝, 😂🤣🤣. 🙏🏻",gue tangkap polisi polda metro jaya hacker bjorka asli polisi polri salah tangkap maaf danta kerja nya kerja nya parcok wercok,positif,metro:0.3339; danta:0.3339; jaya:0.3188; wercok:0.3188; kerja:0.3054; polda:0.2873; nya:0.2489; tangkap:0.2428; maaf:0.2308; parcok:0.2275
ulasan 110,"Mohon maaf nih, 
Gw pribadi yakin banget hanya 10-20% dari seluruh polisi di Indonesia yg bisa pakai komputer (sebatas Office only), untuk ke arah system/hack hanya 0,002% aja, itu pun masih leveling midle.",mohon maaf nih gue pribadi banget polisi indonesia pakai komputer batas office only arah systemhack leveling midle,positif,systemhack:0.3237; leveling:0.3237; midle:0.3237; office:0.3091; only:0.3091; batas:0.2786; mohon:0.2738; arah:0.2536; komputer:0.2357; maaf:0.2238
ulasan 111,"kan endul yang penting ciri"" mirip"" dikitlah, susah"" amat nyari byorke udah ada tumbal tinggal terima amplop selesai. canggih 👏👏😂😂
Buaya dikadalin. Tampang sangar iq dibawah rata"" masuk pk ekohh..",endul ciri dikit susah cari byorke tumbal tinggal terima amplop selesai canggih buaya dikadalin tampang sangar iq bawah masuk pakai ekohh,negatif,endul:0.2723; byorke:0.2723; sangar:0.2723; ekohh:0.2723; buaya:0.2601; amplop:0.2446; tampang:0.2390; tumbal:0.2303; ciri:0.2267; iq:0.2236
ulasan 112,"SEMAKIN KTAHUAN GK KRJA NYA SI COKLAT,  MALU""IN  DI BAYAR RAKYATT GK BISA KRJA CUIH",ktahuan krja nya sih coklat maluin bayar rakyatt krja cuih,netral,krja:0.6493; ktahuan:0.3518; rakyatt:0.3518; cuih:0.3518; maluin:0.2785; bayar:0.2155; coklat:0.2120; sih:0.1444; nya:0.1312
ulasan 113,"Dlm film. Perang hecket, mengatakan ""TDK ADA SYSTEM YG AMAN""",film perang hecket system aman,negatif,hecket:0.5906; perang:0.4728; system:0.4104; film:0.3859; aman:0.3321
ulasan 114,"Saya dukung para hacker d negeri ini, untuk membongkar habis kasus korupsi dan mafia2 d negeri ini",dukung hacker negeri bongkar habis korupsi mafia negeri,negatif,negeri:0.6146; mafia:0.3657; dukung:0.3524; bongkar:0.3485; habis:0.3248; korupsi:0.3202; hacker:0.1867
ulasan 115,Hai BJORKA :) asl please,hai bjorka asl please,netral,asl:0.6330; hai:0.5447; please:0.5196; bjorka:0.1805
ulasan 116,"Banyak bgt org kena tipu transaksi simulasi yg spt real di dunia saham,trading,pasar bayangan. Mirip seolah2 perusahaan real,si tertipu dpt bonus seolah beneran kerja. Ratusan jt pd kena. 

Nah begitu2 kerjaan hacker miring.. bikin gituan codingan. Jago2.


Mana bs nangkep polisi... Kacau dah",banget orang kena tipu transaksi simulasi real dunia sahamtradingpasar bayang usaha realsi tipu bonus benar kerja ratus juta kena kerja hacker miring bikin begitu codingan jago nangkep polisi kacau deh,positif,tipu:0.2902; kena:0.2843; simulasi:0.2456; sahamtradingpasar:0.2456; realsi:0.2456; bonus:0.2456; miring:0.2456; begitu:0.2266; codingan:0.2266; kerja:0.2246
ulasan 117,Polis* bikin malu aja 😂😂😂😂,polis bikin malu,netral,polis:0.7368; bikin:0.4807; malu:0.4755
ulasan 118,"kren banget podcastnya,semuanya pertanyaan gw selama ini terjawab disini",keren banget podcastnyasemuanya gue jawab,positif,podcastnyasemuanya:0.6329; jawab:0.5195; keren:0.4048; banget:0.2939; gue:0.2816
ulasan 119,"2 hari kemaren saya lihat podcast ini, baru tadi siang saya dapat invite grub telegram 😂 penipuan dengan kedok ""menyelesaikan misi dapat komisi"" Wkwkwkwk",kemarin lihat podcast siang invite grub telegram tipu kedok selesai misi komisi wkwkwkwk,positif,invite:0.3372; komisi:0.3372; grub:0.3259; misi:0.3259; siang:0.3171; kedok:0.2940; telegram:0.2646; selesai:0.2607; wkwkwkwk:0.2554; kemarin:0.2208
ulasan 120,Gak sabar nunggu yg sama habib umar,sabar tunggu habib umar,positif,habib:0.5432; umar:0.5432; sabar:0.5013; tunggu:0.3982
ulasan 121,Semenjak jadi Tentara ya om??,semenjak tentara ya om,positif,semenjak:0.6572; tentara:0.6250; om:0.3018; ya:0.2939
ulasan 122,Duhh mana gw pake Wa mod lgi🤣🤣,duh gue pakai wa mod,negatif,duh:0.6024; mod:0.4672; wa:0.4481; pakai:0.3429; gue:0.3169
ulasan 123,Polisi Indonesia mempermalukan diri sendiri,polisi indonesia malu,netral,malu:0.7127; indonesia:0.5551; polisi:0.4290
ulasan 124,emang dari dulu indonesia gak pernah dukung anak indonesia yang berbakat dan kapan bisa maju kalo tidak bisa mendukung sama sekali😂,indonesia dukung anak indonesia bakat maju kalo dukung,positif,dukung:0.6922; indonesia:0.3900; bakat:0.3879; maju:0.3568; anak:0.2217; kalo:0.2047
ulasan 125,"Hacker yang benar² bisa tidak akan mempublikasikan dirinya sendiri. Logic fact: kalau dia bisa bobol bank dia akan lakukan ngapain teriak² mending kaya sendiri ngapain bagi²?? Kalau dia masih jual data berarti kemampuan dia belum sampai di level itu dan motifnya pasti uang. Analogikan saja ada 3 level: 1 system 2 admin 3 user.. polisi ini level nya di angka 2 admin pengguna sekaligus pengatur system tapi tunduk pada aturan system, sedangkan hacker posisinya itu di system level 1. Hacker adalah system itu sendiri bahkan bisa dia manipulasi yang artinya dia bisa di antara level 1 atau 0 bagaimana mungkin bisa level 2 mengobrak abrik level di atasnya. Logika bodo saja...",hacker publikasi logic fact bobol bank laku kapai teriak mending kayak kapai jual data mampu level motif uang analogi level system admin user polisi level nya angka admin guna atur system tunduk atur system hacker posisi system level hacker system manipulasi level level mengobrak abrik level atas logika bodo,negatif,level:0.6582; system:0.4360; atur:0.1881; admin:0.1827; kapai:0.1793; hacker:0.1409; mengobrak:0.1255; logic:0.1198; abrik:0.1158; fact:0.1158
ulasan 126,*polisi asal tangkap dari bom Bali sampe yg ini hahhahahh*,polisi tangkap bom bal hahhahahh,negatif,hahhahahh:0.5934; bom:0.5329; bal:0.5329; tangkap:0.2158; polisi:0.1825
ulasan 127,kalo gw bilang bjorka itu temen gw kalian percaya gk?,kalo gue bilang bjorka teman gue percaya,positif,gue:0.6314; teman:0.4311; bilang:0.3953; percaya:0.3611; kalo:0.2964; bjorka:0.2024
ulasan 128,ATAU JANGAN-JANGAN ORANG INI ADALAH.....,janganjangan orang,netral,janganjangan:0.9260; orang:0.3775
ulasan 129,udah gk kaget liat kebodohan polisi negri ini wkwkwk,kaget lihat bodoh polisi negeri wkwkwk,positif,kaget:0.5629; negeri:0.4224; bodoh:0.4004; wkwkwk:0.3952; lihat:0.3792; polisi:0.2109
ulasan 130,"Mau dong gua di tuduh jadi bjorka ,,biar gua acak acak itu polisi di rumah gua🤣",gua tuduh bjorka biar gua acak acak polisi rumah gua,negatif,acak:0.6182; gua:0.6147; tuduh:0.3091; rumah:0.2882; biar:0.1893; polisi:0.1173; bjorka:0.1088
ulasan 131,Menurutku Bjorka dipandang hebat dimata rakyat indonesia jika mampu mempublikasi data pejabat korup dan bukti korupsinya. Sehingga kita  bisa membasmi korupsi dari negara ini.,turut bjorka pandang hebat mata rakyat indonesia publikasi data jabat korup bukti korupsi basmi korupsi negara,negatif,korupsi:0.4710; basmi:0.3158; turut:0.3055; publikasi:0.3012; pandang:0.3012; korup:0.2489; mata:0.2478; bukti:0.2324; hebat:0.2195; jabat:0.2102
ulasan 132,"coba anda ketik di chat GPT , jika anda seorang detektif, coba analisa kehadiran bjorka dengan isu yang ada


dia  jawab setiap bjorka muncul, ada isu besar yang lagi marak , untuk pengalihan perhatian
lalu ketik lagi apakah serangan bjorka benar2 dari luar atau jangan2 dari dalam,  mengambil data lalu mengupload dengan nama X",coba ketik chat gpt detektif coba analisa hadir bjorka isu bjorka muncul isu marak alih perhati ketik serang bjorka ambil data mengupload nama kali,negatif,ketik:0.4711; coba:0.2899; isu:0.2750; mengupload:0.2552; gpt:0.2437; analisa:0.2437; detektif:0.2355; marak:0.2240; bjorka:0.2184; hadir:0.2068
ulasan 133,Cm teroris yg BKIN polisi hancur,teroris bikin polisi hancur,netral,teroris:0.6453; hancur:0.6109; bikin:0.3941; polisi:0.2346
ulasan 134,"Menit 58:00 seterus bang teguh gak mau sambung lagi, kok lu (om ded)nambahin pelaku koruptor, biasa jadi jalan baru bagi pelaku kriminal buka akses komunikasi",menit terus bang teguh sambung lu om dednambahin laku koruptor jalan laku kriminal buka akses komunikasi,netral,laku:0.4066; sambung:0.3407; dednambahin:0.3407; terus:0.2837; kriminal:0.2797; komunikasi:0.2761; akses:0.2643; jalan:0.2165; menit:0.2111; koruptor:0.2093
ulasan 135,Polisi Konoha nangkep maling motor yg jelas ada rekaman CCTV aja ga bisa so. Soan nangkep hacker.... Kocakkkkkkkk 😊,polisi konoha nangkep maling motor rekam cctv sok soan nangkep hacker kocakkkkkkkk,netral,kocakkkkkkkk:0.4332; nangkep:0.3728; soan:0.3728; rekam:0.3510; cctv:0.3246; motor:0.2734; sok:0.2597; maling:0.2507; konoha:0.2382; hacker:0.1621
ulasan 136,"01:00:11:44 Setuju kalo sebagian mereka udah bener, baru di bantu",tuju kalo bantu,netral,tuju:0.6834; bantu:0.5951; kalo:0.4228
ulasan 137,"Bjorka nya ikut podcast dan penjelasan detail permainan nya rapih ilmu nya selangkah lebih pintar dari kemanan, istilah anak2 latihan pertama hacker amatir membobol sistem keamanan indo😂😂",bjorka nya podcast jelas detail main nya rapi ilmu nya selang pintar keman istilah anak latih hacker amatir bobol sistem aman indonesia,negatif,nya:0.3386; selang:0.3027; keman:0.3027; amatir:0.2891; rapi:0.2718; detail:0.2657; jelas:0.2605; istilah:0.2520; latih:0.2520; ilmu:0.1978
ulasan 138,"Saya masih bebas dan masih berkeliaran di masyarakat, Siapa yang anda tanggap? Anak punk😂😂
Menangkap Hacker gak semudah itu",bebas liar masyarakat tanggap anak punk tangkap hacker mudah,negatif,tanggap:0.4696; liar:0.4335; bebas:0.4009; punk:0.3259; masyarakat:0.3131; mudah:0.3003; anak:0.2420; hacker:0.2002; tangkap:0.1945
ulasan 139,"Tidak segampang itu nangkap bjorka, cari sensasi biar naik pangkat, tidak sekali atau 2 kali polisi salah tangkap,kasus kecil aja sering salah tangkap , apalagi sekelas bjorka",gampang nangkap bjorka cari sensasi biar pangkat kali polisi salah tangkapkasus salah tangkap kelas bjorka,negatif,tangkapkasus:0.4219; sensasi:0.4029; salah:0.3738; gampang:0.3115; pangkat:0.2932; bjorka:0.2407; kelas:0.2341; kali:0.2333; cari:0.2108; biar:0.2093
ulasan 140,bang aku pernah hack akun epep pake aplikasi termux😹,bang hack akun epep pakai aplikasi termux,negatif,epep:0.5345; termux:0.4734; aplikasi:0.3544; hack:0.3307; akun:0.3199; bang:0.2833; pakai:0.2695
ulasan 141,"Kak Deddy, saya request untuk menghadirkan Kuasa Hukum dan Keluarga Kak Arya Daru Pangayunan di podcast kakak 🙏

Terimakasih",kak deddy request hadir kuasa hukum keluarga kak arya daru pangayunan podcast kakak terimakasih,positif,kak:0.5131; pangayunan:0.3034; request:0.2897; arya:0.2897; daru:0.2897; terimakasih:0.2526; hadir:0.2458; kuasa:0.2402; kakak:0.2377; keluarga:0.2143
ulasan 142,Pertanyaan dedi ngambang bgt. Gak tah dunia haking sma sekali seharusnya riset dulu.,dedi ngambang banget teh dunia haking riset,positif,ngambang:0.4487; haking:0.4487; riset:0.4487; teh:0.4285; dedi:0.3152; dunia:0.2639; banget:0.2084
ulasan 143,"Pertanyaan 44:38 saya bantu jawab :
"" Penonton close the door kan smart people, kenapa tidak ada perubahan walau disindir berapa kali karena 'mereka' ga termasuk penonton"".",bantu tonton close the door smart people ubah sindir kali tonton,negatif,tonton:0.4234; close:0.3501; people:0.3501; door:0.3407; sindir:0.3407; smart:0.3330; ubah:0.2821; the:0.2434; bantu:0.2231; kali:0.2098
ulasan 144,Bjorka simbol One piece,bjorka simbol one piece,netral,simbol:0.5953; piece:0.5953; one:0.5123; bjorka:0.1698
ulasan 145,"Memang yang bener itu polisi di lebur dan dibubarkan , buat skema mirip kaya damkar bisa cepat datang dan bisa cepat untuk melayani . emng maaf kurang berguna gajih yang lumayan gede dengan anggaran yang sangat gede tapi manfaatnya maaf sungguh mengecewakan rakyat . no viral no justic ga ada uang ga ada keadilan .",polisi lebur bubar skema kayak damkar cepat cepat layan maaf guna gajih lumayan gede anggar gede manfaat maaf sungguh kecewa rakyat no viral no justic uang adil,netral,gede:0.3247; cepat:0.3247; maaf:0.3196; no:0.3081; lebur:0.2311; justic:0.2311; skema:0.2207; kecewa:0.2076; gajih:0.2029; damkar:0.1924
ulasan 146,"gw sering dpt money game di tele dan gw selalu ikutin tp pas gw udh untung lgsng gw hapusin semua, apa itu masih aman?",gue money game tele gue ikut pas gue untung lgsng gue hapus aman,netral,gue:0.6064; lgsng:0.3408; money:0.3254; tele:0.2932; ikut:0.2596; hapus:0.2450; untung:0.2420; game:0.2333; pas:0.2172; aman:0.1916
ulasan 147,HACKER KOK NUNJUKIN WAJAH JADI BADUT KAH ATAU JOKER HHHHHHH😂😂🎉.,hacker nunjukin wajah badut kah joker hhhhhhh,netral,hhhhhhh:0.4652; joker:0.4442; nunjukin:0.4004; badut:0.3873; wajah:0.3770; kah:0.3217; hacker:0.1741
ulasan 148,"Hacker itu pintar, jadi susah buat ditangkap",hacker pintar susah tangkap,negatif,susah:0.6186; pintar:0.5596; hacker:0.3955; tangkap:0.3843
ulasan 149,kerja gak bener aja bayarin orang buat tuntasin masalahnya...🤣🤣🤣,kerja bayarin orang tuntasin,positif,bayarin:0.6648; tuntasin:0.6348; kerja:0.3041; orang:0.2501
ulasan 150,plotwisnya ternyata bjorka adalah mas teguh ini wkwk,plotwisnya bjorka mas teguh wkwk,netral,plotwisnya:0.6759; wkwk:0.4300; mas:0.4053; teguh:0.3914; bjorka:0.2019
ulasan 151,lah iya. hacker sekelas bjorca mana bisa sekelas polis konoha nangkap. FBI aja mungkin susah nangkap nya apa lagi polisi konoha. kelas nya udah internasional. yg di tangkap cuma untuk pengalihan isu,iya hacker kelas bjorca kelas polis konoha nangkap fbi susah nangkap nya polisi konoha kelas nya internasional tangkap alih isu,negatif,kelas:0.5275; konoha:0.3485; nangkap:0.3048; bjorca:0.2924; internasional:0.2601; polis:0.2508; fbi:0.2508; nya:0.2363; iya:0.2095; susah:0.1855
ulasan 152,Mas Dedi kann Deket sama PK presiden kasih tau dong mas ded,mas dedi pakai presiden kasih tau mas ded,netral,mas:0.6183; presiden:0.4149; dedi:0.3791; kasih:0.3160; ded:0.2777; pakai:0.2599; tau:0.2396
ulasan 153,54:56 bisa juga dilihat ke menu riwayat notifikasi(fitur bawaan) 😂,menu riwayat notifikasifitur bawa,netral,menu:0.5413; notifikasifitur:0.5413; riwayat:0.4995; bawa:0.4056
ulasan 154,"dari yg gua tonton, abang ini ga seluas pengetahuan nya soal hacker. lomba lomba itu bukan orang yg bahaya, justru orang yg bahaya gabakal unjuk skill buat di lombakan, mereka lebih pengen dibelakang ""layar"". sesekali nya unjuk diri cuma di gathering grup aja.",gua tonton abang luas tahu nya hacker lomba lomba orang bahaya orang bahaya unjuk skill lomba pengin belakang layar nya unjuk gathering grup,negatif,lomba:0.5663; unjuk:0.4244; bahaya:0.3267; gathering:0.2196; belakang:0.2018; luas:0.1979; layar:0.1863; grup:0.1802; skill:0.1752; orang:0.1730
ulasan 155,"tandain gua, dibalik bjorka pasti kalo ngga dhiki, yuyud.",tandain gua balik bjorka kalo dhiki yuyud,negatif,tandain:0.4888; dhiki:0.4888; yuyud:0.4888; balik:0.3913; gua:0.2625; kalo:0.2042; bjorka:0.1394
ulasan 156,Bjirka 😂😂,bjirka,netral,bjirka:1.0000
ulasan 157,Polisi konoha emang DONGO,polisi konoha dongo,netral,dongo:0.8068; konoha:0.5156; polisi:0.2883
ulasan 158,"polisi bisa apa gaes 
fufufa, ijazah palsu naling uang rakyat aja ga klar klar belagu bisa nangkap hacker kakap 
bikin malu negara.",polisi gaes fufufa ijazah palsu naling uang rakyat klar klar belagu nangkap hacker kakap bikin malu negara,positif,klar:0.5964; naling:0.2982; belagu:0.2982; fufufa:0.2848; gaes:0.2678; kakap:0.2522; ijazah:0.2062; palsu:0.2032; uang:0.1784; rakyat:0.1574
