comment,case_folding,cleansing
Dari konten ini kesimpulannya adalah kecil kepercayaan masyarakat banyak kepada lembaga polri karena sering kebobolan hecker,dari konten ini kesimpulannya adalah kecil kepercayaan masyarakat banyak kepada lembaga polri karena sering kebobolan hecker,dari konten ini kesimpulannya adalah kecil kepercayaan masyarakat banyak kepada lembaga polri karena sering kebobolan hecker
Mata mata sedang cari tau berkedok podcast 😅😅,mata mata sedang cari tau berkedok podcast 😅😅,mata mata sedang cari tau berkedok podcast
Kapolri tuh ganti  makin bego aja nih instansi,kapolri tuh ganti  makin bego aja nih instansi,kapolri tuh ganti makin bego aja nih instansi
"Bjorka memang keren tapi kalian kyaknya ndak nyimak postcast nya, kalau postcast ini membahas BJORKA MENJUAL DATA-DATA KALIAN. 😅","bjorka memang keren tapi kalian kyaknya ndak nyimak postcast nya, kalau postcast ini membahas bjorka menjual data-data kalian. 😅",bjorka memang keren tapi kalian kyaknya ndak nyimak postcast nya kalau postcast ini membahas bjorka menjual datadata kalian
"Masih terngiang-ngiang diingatan bapak bapak megang layar pas peluncuran sesuatu, cursornya kena senggol. Jadi ketahuan kalau screenrecord😅.","masih terngiang-ngiang diingatan bapak bapak megang layar pas peluncuran sesuatu, cursornya kena senggol. jadi ketahuan kalau screenrecord😅.",masih terngiangngiang diingatan bapak bapak megang layar pas peluncuran sesuatu cursornya kena senggol jadi ketahuan kalau screenrecord
"tertawa terbahak""' gua ketika polisi bilang sudah nangkap Bjorka 😂😂😂 , nangkap bandar judol aja gak bisa""'  , ini malah bilang sudah nangkap Bjorka 😂😂😂 , besok.a malah Bjorka membocorkan data""' Polri semua.a 

menurut gua mending Polisi nangkap Bandar Judol dlu dah daripada nangkap Bjorka 😂","tertawa terbahak""' gua ketika polisi bilang sudah nangkap bjorka 😂😂😂 , nangkap bandar judol aja gak bisa""'  , ini malah bilang sudah nangkap bjorka 😂😂😂 , besok.a malah bjorka membocorkan data""' polri semua.a 

menurut gua mending polisi nangkap bandar judol dlu dah daripada nangkap bjorka 😂",tertawa terbahak gua ketika polisi bilang sudah nangkap bjorka nangkap bandar judol aja gak bisa ini malah bilang sudah nangkap bjorka besoka malah bjorka membocorkan data polri semuaa menurut gua mending polisi nangkap bandar judol dlu dah daripada nangkap bjorka
46:00 Fufufafa??😮😂,46:00 fufufafa??😮😂,fufufafa
No system is safe.,no system is safe.,no system is safe
18:44 komunitas mendukung karna munkin masyakat muak dengan pemerintah,18:44 komunitas mendukung karna munkin masyakat muak dengan pemerintah,komunitas mendukung karna munkin masyakat muak dengan pemerintah
Dari suara aja Tahu ini siapa😂😂😂,dari suara aja tahu ini siapa😂😂😂,dari suara aja tahu ini siapa
Bukan “tau” bg tapi “tahu”,bukan “tau” bg tapi “tahu”,bukan tau bg tapi tahu
Hehehe😊,hehehe😊,hehehe
yang buat driver linux tu hacker,yang buat driver linux tu hacker,yang buat driver linux tu hacker
"Namanya ingin naik jabatan, dan perlu klen tau.. misal nih ya ada kasus pembunuhan ribuan tahun yang lalu, kemudian kebetulan ada orang liar yg tertangkap dengan kasus pembunuhan tu orang bakal di siksa paksa buat akui kasus ratusan puluh ribu tahun yang lalu, buat naik jabatan hina kn","namanya ingin naik jabatan, dan perlu klen tau.. misal nih ya ada kasus pembunuhan ribuan tahun yang lalu, kemudian kebetulan ada orang liar yg tertangkap dengan kasus pembunuhan tu orang bakal di siksa paksa buat akui kasus ratusan puluh ribu tahun yang lalu, buat naik jabatan hina kn",namanya ingin naik jabatan dan perlu klen tau misal nih ya ada kasus pembunuhan ribuan tahun yang lalu kemudian kebetulan ada orang liar yg tertangkap dengan kasus pembunuhan tu orang bakal di siksa paksa buat akui kasus ratusan puluh ribu tahun yang lalu buat naik jabatan hina kn
"gue yakin dan 100% sangat yakin, yang ditangkap polisi dari polda metro jaya, bukan hacker bjorka asli, polisi (polri) salah tangkap. maaf, emang gak danta kerja nya, kerjaan nya mereka. itulah mereka, parcok dan wercok. 🤣🤣. 👎🏻, 🤮, 😜😝😝, 😂🤣🤣. 🙏🏻","gue yakin dan 100% sangat yakin, yang ditangkap polisi dari polda metro jaya, bukan hacker bjorka asli, polisi (polri) salah tangkap. maaf, emang gak danta kerja nya, kerjaan nya mereka. itulah mereka, parcok dan wercok. 🤣🤣. 👎🏻, 🤮, 😜😝😝, 😂🤣🤣. 🙏🏻",gue yakin dan sangat yakin yang ditangkap polisi dari polda metro jaya bukan hacker bjorka asli polisi polri salah tangkap maaf emang gak danta kerja nya kerjaan nya mereka itulah mereka parcok dan wercok
"Mohon maaf nih, 
Gw pribadi yakin banget hanya 10-20% dari seluruh polisi di Indonesia yg bisa pakai komputer (sebatas Office only), untuk ke arah system/hack hanya 0,002% aja, itu pun masih leveling midle.","mohon maaf nih, 
gw pribadi yakin banget hanya 10-20% dari seluruh polisi di indonesia yg bisa pakai komputer (sebatas office only), untuk ke arah system/hack hanya 0,002% aja, itu pun masih leveling midle.",mohon maaf nih gw pribadi yakin banget hanya dari seluruh polisi di indonesia yg bisa pakai komputer sebatas office only untuk ke arah systemhack hanya aja itu pun masih leveling midle
"kan endul yang penting ciri"" mirip"" dikitlah, susah"" amat nyari byorke udah ada tumbal tinggal terima amplop selesai. canggih 👏👏😂😂
Buaya dikadalin. Tampang sangar iq dibawah rata"" masuk pk ekohh..","kan endul yang penting ciri"" mirip"" dikitlah, susah"" amat nyari byorke udah ada tumbal tinggal terima amplop selesai. canggih 👏👏😂😂
buaya dikadalin. tampang sangar iq dibawah rata"" masuk pk ekohh..",kan endul yang penting ciri mirip dikitlah susah amat nyari byorke udah ada tumbal tinggal terima amplop selesai canggih buaya dikadalin tampang sangar iq dibawah rata masuk pk ekohh
"SEMAKIN KTAHUAN GK KRJA NYA SI COKLAT,  MALU""IN  DI BAYAR RAKYATT GK BISA KRJA CUIH","semakin ktahuan gk krja nya si coklat,  malu""in  di bayar rakyatt gk bisa krja cuih",semakin ktahuan gk krja nya si coklat maluin di bayar rakyatt gk bisa krja cuih
"Dlm film. Perang hecket, mengatakan ""TDK ADA SYSTEM YG AMAN""","dlm film. perang hecket, mengatakan ""tdk ada system yg aman""",dlm film perang hecket mengatakan tdk ada system yg aman
"Saya dukung para hacker d negeri ini, untuk membongkar habis kasus korupsi dan mafia2 d negeri ini","saya dukung para hacker d negeri ini, untuk membongkar habis kasus korupsi dan mafia2 d negeri ini",saya dukung para hacker d negeri ini untuk membongkar habis kasus korupsi dan mafia d negeri ini
Hai BJORKA :) asl please,hai bjorka :) asl please,hai bjorka asl please
"Banyak bgt org kena tipu transaksi simulasi yg spt real di dunia saham,trading,pasar bayangan. Mirip seolah2 perusahaan real,si tertipu dpt bonus seolah beneran kerja. Ratusan jt pd kena. 

Nah begitu2 kerjaan hacker miring.. bikin gituan codingan. Jago2.


Mana bs nangkep polisi... Kacau dah","banyak bgt org kena tipu transaksi simulasi yg spt real di dunia saham,trading,pasar bayangan. mirip seolah2 perusahaan real,si tertipu dpt bonus seolah beneran kerja. ratusan jt pd kena. 

nah begitu2 kerjaan hacker miring.. bikin gituan codingan. jago2.


mana bs nangkep polisi... kacau dah",banyak bgt org kena tipu transaksi simulasi yg spt real di dunia sahamtradingpasar bayangan mirip seolah perusahaan realsi tertipu dpt bonus seolah beneran kerja ratusan jt pd kena nah begitu kerjaan hacker miring bikin gituan codingan jago mana bs nangkep polisi kacau dah
Polis* bikin malu aja 😂😂😂😂,polis* bikin malu aja 😂😂😂😂,polis bikin malu aja
"kren banget podcastnya,semuanya pertanyaan gw selama ini terjawab disini","kren banget podcastnya,semuanya pertanyaan gw selama ini terjawab disini",kren banget podcastnyasemuanya pertanyaan gw selama ini terjawab disini
"2 hari kemaren saya lihat podcast ini, baru tadi siang saya dapat invite grub telegram 😂 penipuan dengan kedok ""menyelesaikan misi dapat komisi"" Wkwkwkwk","2 hari kemaren saya lihat podcast ini, baru tadi siang saya dapat invite grub telegram 😂 penipuan dengan kedok ""menyelesaikan misi dapat komisi"" wkwkwkwk",hari kemaren saya lihat podcast ini baru tadi siang saya dapat invite grub telegram penipuan dengan kedok menyelesaikan misi dapat komisi wkwkwkwk
Gak sabar nunggu yg sama habib umar,gak sabar nunggu yg sama habib umar,gak sabar nunggu yg sama habib umar
Semenjak jadi Tentara ya om??,semenjak jadi tentara ya om??,semenjak jadi tentara ya om
Duhh mana gw pake Wa mod lgi🤣🤣,duhh mana gw pake wa mod lgi🤣🤣,duhh mana gw pake wa mod lgi
Polisi Indonesia mempermalukan diri sendiri,polisi indonesia mempermalukan diri sendiri,polisi indonesia mempermalukan diri sendiri
emang dari dulu indonesia gak pernah dukung anak indonesia yang berbakat dan kapan bisa maju kalo tidak bisa mendukung sama sekali😂,emang dari dulu indonesia gak pernah dukung anak indonesia yang berbakat dan kapan bisa maju kalo tidak bisa mendukung sama sekali😂,emang dari dulu indonesia gak pernah dukung anak indonesia yang berbakat dan kapan bisa maju kalo tidak bisa mendukung sama sekali
"Hacker yang benar² bisa tidak akan mempublikasikan dirinya sendiri. Logic fact: kalau dia bisa bobol bank dia akan lakukan ngapain teriak² mending kaya sendiri ngapain bagi²?? Kalau dia masih jual data berarti kemampuan dia belum sampai di level itu dan motifnya pasti uang. Analogikan saja ada 3 level: 1 system 2 admin 3 user.. polisi ini level nya di angka 2 admin pengguna sekaligus pengatur system tapi tunduk pada aturan system, sedangkan hacker posisinya itu di system level 1. Hacker adalah system itu sendiri bahkan bisa dia manipulasi yang artinya dia bisa di antara level 1 atau 0 bagaimana mungkin bisa level 2 mengobrak abrik level di atasnya. Logika bodo saja...","hacker yang benar² bisa tidak akan mempublikasikan dirinya sendiri. logic fact: kalau dia bisa bobol bank dia akan lakukan ngapain teriak² mending kaya sendiri ngapain bagi²?? kalau dia masih jual data berarti kemampuan dia belum sampai di level itu dan motifnya pasti uang. analogikan saja ada 3 level: 1 system 2 admin 3 user.. polisi ini level nya di angka 2 admin pengguna sekaligus pengatur system tapi tunduk pada aturan system, sedangkan hacker posisinya itu di system level 1. hacker adalah system itu sendiri bahkan bisa dia manipulasi yang artinya dia bisa di antara level 1 atau 0 bagaimana mungkin bisa level 2 mengobrak abrik level di atasnya. logika bodo saja...",hacker yang benar bisa tidak akan mempublikasikan dirinya sendiri logic fact kalau dia bisa bobol bank dia akan lakukan ngapain teriak mending kaya sendiri ngapain bagi kalau dia masih jual data berarti kemampuan dia belum sampai di level itu dan motifnya pasti uang analogikan saja ada level system admin user polisi ini level nya di angka admin pengguna sekaligus pengatur system tapi tunduk pada aturan system sedangkan hacker posisinya itu di system level hacker adalah system itu sendiri bahkan bisa dia manipulasi yang artinya dia bisa di antara level atau bagaimana mungkin bisa level mengobrak abrik level di atasnya logika bodo saja
*polisi asal tangkap dari bom Bali sampe yg ini hahhahahh*,*polisi asal tangkap dari bom bali sampe yg ini hahhahahh*,polisi asal tangkap dari bom bali sampe yg ini hahhahahh
kalo gw bilang bjorka itu temen gw kalian percaya gk?,kalo gw bilang bjorka itu temen gw kalian percaya gk?,kalo gw bilang bjorka itu temen gw kalian percaya gk
ATAU JANGAN-JANGAN ORANG INI ADALAH.....,atau jangan-jangan orang ini adalah.....,atau janganjangan orang ini adalah
udah gk kaget liat kebodohan polisi negri ini wkwkwk,udah gk kaget liat kebodohan polisi negri ini wkwkwk,udah gk kaget liat kebodohan polisi negri ini wkwkwk
"Mau dong gua di tuduh jadi bjorka ,,biar gua acak acak itu polisi di rumah gua🤣","mau dong gua di tuduh jadi bjorka ,,biar gua acak acak itu polisi di rumah gua🤣",mau dong gua di tuduh jadi bjorka biar gua acak acak itu polisi di rumah gua
Menurutku Bjorka dipandang hebat dimata rakyat indonesia jika mampu mempublikasi data pejabat korup dan bukti korupsinya. Sehingga kita  bisa membasmi korupsi dari negara ini.,menurutku bjorka dipandang hebat dimata rakyat indonesia jika mampu mempublikasi data pejabat korup dan bukti korupsinya. sehingga kita  bisa membasmi korupsi dari negara ini.,menurutku bjorka dipandang hebat dimata rakyat indonesia jika mampu mempublikasi data pejabat korup dan bukti korupsinya sehingga kita bisa membasmi korupsi dari negara ini
"coba anda ketik di chat GPT , jika anda seorang detektif, coba analisa kehadiran bjorka dengan isu yang ada


dia  jawab setiap bjorka muncul, ada isu besar yang lagi marak , untuk pengalihan perhatian
lalu ketik lagi apakah serangan bjorka benar2 dari luar atau jangan2 dari dalam,  mengambil data lalu mengupload dengan nama X","coba anda ketik di chat gpt , jika anda seorang detektif, coba analisa kehadiran bjorka dengan isu yang ada


dia  jawab setiap bjorka muncul, ada isu besar yang lagi marak , untuk pengalihan perhatian
lalu ketik lagi apakah serangan bjorka benar2 dari luar atau jangan2 dari dalam,  mengambil data lalu mengupload dengan nama x",coba anda ketik di chat gpt jika anda seorang detektif coba analisa kehadiran bjorka dengan isu yang ada dia jawab setiap bjorka muncul ada isu besar yang lagi marak untuk pengalihan perhatian lalu ketik lagi apakah serangan bjorka benar dari luar atau jangan dari dalam mengambil data lalu mengupload dengan nama x
Cm teroris yg BKIN polisi hancur,cm teroris yg bkin polisi hancur,cm teroris yg bkin polisi hancur
"Menit 58:00 seterus bang teguh gak mau sambung lagi, kok lu (om ded)nambahin pelaku koruptor, biasa jadi jalan baru bagi pelaku kriminal buka akses komunikasi","menit 58:00 seterus bang teguh gak mau sambung lagi, kok lu (om ded)nambahin pelaku koruptor, biasa jadi jalan baru bagi pelaku kriminal buka akses komunikasi",menit seterus bang teguh gak mau sambung lagi kok lu om dednambahin pelaku koruptor biasa jadi jalan baru bagi pelaku kriminal buka akses komunikasi
Polisi Konoha nangkep maling motor yg jelas ada rekaman CCTV aja ga bisa so. Soan nangkep hacker.... Kocakkkkkkkk 😊,polisi konoha nangkep maling motor yg jelas ada rekaman cctv aja ga bisa so. soan nangkep hacker.... kocakkkkkkkk 😊,polisi konoha nangkep maling motor yg jelas ada rekaman cctv aja ga bisa so soan nangkep hacker kocakkkkkkkk
"01:00:11:44 Setuju kalo sebagian mereka udah bener, baru di bantu","01:00:11:44 setuju kalo sebagian mereka udah bener, baru di bantu",setuju kalo sebagian mereka udah bener baru di bantu
"Bjorka nya ikut podcast dan penjelasan detail permainan nya rapih ilmu nya selangkah lebih pintar dari kemanan, istilah anak2 latihan pertama hacker amatir membobol sistem keamanan indo😂😂","bjorka nya ikut podcast dan penjelasan detail permainan nya rapih ilmu nya selangkah lebih pintar dari kemanan, istilah anak2 latihan pertama hacker amatir membobol sistem keamanan indo😂😂",bjorka nya ikut podcast dan penjelasan detail permainan nya rapih ilmu nya selangkah lebih pintar dari kemanan istilah anak latihan pertama hacker amatir membobol sistem keamanan indo
"Saya masih bebas dan masih berkeliaran di masyarakat, Siapa yang anda tanggap? Anak punk😂😂
Menangkap Hacker gak semudah itu","saya masih bebas dan masih berkeliaran di masyarakat, siapa yang anda tanggap? anak punk😂😂
menangkap hacker gak semudah itu",saya masih bebas dan masih berkeliaran di masyarakat siapa yang anda tanggap anak punk menangkap hacker gak semudah itu
"Tidak segampang itu nangkap bjorka, cari sensasi biar naik pangkat, tidak sekali atau 2 kali polisi salah tangkap,kasus kecil aja sering salah tangkap , apalagi sekelas bjorka","tidak segampang itu nangkap bjorka, cari sensasi biar naik pangkat, tidak sekali atau 2 kali polisi salah tangkap,kasus kecil aja sering salah tangkap , apalagi sekelas bjorka",tidak segampang itu nangkap bjorka cari sensasi biar naik pangkat tidak sekali atau kali polisi salah tangkapkasus kecil aja sering salah tangkap apalagi sekelas bjorka
bang aku pernah hack akun epep pake aplikasi termux😹,bang aku pernah hack akun epep pake aplikasi termux😹,bang aku pernah hack akun epep pake aplikasi termux
"Kak Deddy, saya request untuk menghadirkan Kuasa Hukum dan Keluarga Kak Arya Daru Pangayunan di podcast kakak 🙏

Terimakasih","kak deddy, saya request untuk menghadirkan kuasa hukum dan keluarga kak arya daru pangayunan di podcast kakak 🙏

terimakasih",kak deddy saya request untuk menghadirkan kuasa hukum dan keluarga kak arya daru pangayunan di podcast kakak terimakasih
